iter	Passed	Remaining
0	0	580
1	1	581
2	1	527
3	1	478
4	2	427
5	2	410
6	2	404
7	3	397
8	3	392
9	3	369
10	4	367
11	4	372
12	4	372
13	5	376
14	5	382
15	6	379
16	6	379
17	6	378
18	7	378
19	7	377
20	8	379
21	8	379
22	8	378
23	9	382
24	9	383
25	10	398
26	11	410
27	12	422
28	13	452
29	13	445
30	14	443
31	14	440
32	14	438
33	15	435
34	15	432
35	16	429
36	16	427
37	16	424
38	17	423
39	17	421
40	17	419
41	18	417
42	18	416
43	19	415
44	19	413
45	19	413
46	20	411
47	20	410
48	21	410
49	21	411
50	22	424
51	23	430
52	24	434
53	25	444
54	25	445
55	26	446
56	26	445
57	27	444
58	27	443
59	28	442
60	28	441
61	29	440
62	29	441
63	30	440
64	30	439
65	31	439
66	31	438
67	31	436
68	32	435
69	32	438
70	33	442
71	34	449
72	35	451
73	37	463
74	37	462
75	37	460
76	38	458
77	38	457
78	39	455
79	39	454
80	40	456
81	40	455
82	41	455
83	41	454
84	42	453
85	42	452
86	43	451
87	43	453
88	44	455
89	45	461
90	46	463
91	47	467
92	48	472
93	48	471
94	49	470
95	49	468
96	50	466
97	50	464
98	50	462
99	51	461
100	51	460
101	52	459
102	52	458
103	53	457
104	53	455
105	53	454
106	54	452
107	54	452
108	55	454
109	56	456
110	57	457
111	58	462
112	59	464
113	59	464
114	60	462
115	60	460
116	60	459
117	61	457
118	61	456
119	62	454
120	62	454
121	62	452
122	63	451
123	63	450
124	64	448
125	64	447
126	64	446
127	65	445
128	66	446
129	67	452
130	84	561
131	86	566
132	87	568
133	88	569
134	88	568
135	89	566
136	89	565
137	90	563
138	90	561
139	91	560
140	91	559
141	92	558
142	92	556
143	93	554
144	94	554
145	94	554
146	95	556
147	96	557
148	97	557
149	98	555
150	98	554
151	98	552
152	99	549
153	99	547
154	100	545
155	100	543
156	100	541
157	101	539
158	101	536
159	101	535
160	102	533
161	102	531
162	103	529
163	103	527
164	103	525
165	104	523
166	104	522
167	105	521
168	106	522
169	107	522
170	107	521
171	108	522
172	109	521
173	109	519
174	109	517
175	110	515
176	110	513
177	110	511
178	111	509
179	111	508
180	112	506
181	112	505
182	112	503
183	113	501
184	113	500
185	113	498
186	114	497
187	114	495
188	115	493
189	115	493
190	116	494
191	117	494
192	118	494
193	118	493
194	120	495
195	120	494
196	120	492
197	121	491
198	121	489
199	121	487
200	122	486
201	122	484
202	123	483
203	123	481
204	123	480
205	124	478
206	124	477
207	124	475
208	125	474
209	125	473
210	126	471
211	126	470
212	127	469
213	127	468
214	128	468
215	128	467
216	129	467
217	130	467
218	131	467
