exchange,exchangename,scripcode,scripshortname
0,NSE,1923,WEALTH
0,NSE,5366,WINDLAS
0,NSE,22277,WORTH
0,NSE,25003,YAARI
0,NSE,18760,YATRA
0,NSE,14003,ZEEMEDIA
0,NSE,7929,ZYDUSLIFE
0,NSE,8932,734AP40
0,NSE,16784,734HR31
0,NSE,16064,735HR33
0,NSE,31970,NHBTF2014
0,NSE,18347,NIFMID150
0,NSE,14194,NINSYS
0,NSE,7876,NIPPOBATRY
0,NSE,18844,NIRAJISPAT
0,NSE,10751,NTPC
0,NSE,5426,NUVOCO
0,NSE,13594,75HR29
0,NSE,15098,75HR30
0,NSE,22137,75TR30
0,NSE,7142,761GS2030
0,NSE,10853,761HR32
0,NSE,17996,PGIMCSR2G
0,NSE,10666,PNB
0,NSE,14385,POCL
0,NSE,13147,PVRINOX
0,NSE,15330,QGOLDHALF
0,NSE,17704,QUESS
0,NSE,5751,SANSERA
0,NSE,18506,SAROJA
0,NSE,10453,SATIN
0,NSE,13515,OMKARCHEM
0,NSE,5631,PAR
0,NSE,2599,PARTYCRUS
0,NSE,5132,PCHFL
0,NSE,5134,PCHFL
0,NSE,2412,PEL
0,NSE,14299,PFC
0,NSE,20024,PFC
0,NSE,10318,PKTEA
0,NSE,16711,SAHANA
0,NSE,14900,SAHYADRI
0,NSE,27307,SAMPANN
0,NSE,2988,SANDESH
0,NSE,1442,SANOFI
0,NSE,3304,678MN31
0,NSE,3373,678RJ31A
0,NSE,32,679MP33
0,NSE,5344,679WB28A
0,NSE,22078,684RJ24
0,NSE,22068,684RJ30
0,NSE,38,685AP36
0,NSE,22226,685WB30A
0,NSE,2096,687AP37
0,NSE,5670,687AS31
0,NSE,5970,687BR30
0,NSE,5691,687MN31
0,NSE,3522,688MH33
0,NSE,5977,689GJ31
0,NSE,22082,726UP29
0,NSE,5969,691AS31
0,NSE,5679,691MH34
0,NSE,17130,PARAGMILK
0,NSE,5155,PCHFL
0,NSE,5160,PCHFL
0,NSE,5264,PDSL
0,NSE,11250,PERFECT
0,NSE,18641,PERFECTPP
0,NSE,11351,PETRONET
0,NSE,2535,PGHH
0,NSE,17985,PGIMCSA1G
