exchange,exchangename,scripcode,scripshortname
2,NSEFO,148739,NESTLEIND
2,NSEFO,148740,NESTLEIND
2,NSEFO,148741,NESTLEIND
2,NSEFO,148742,NESTLEIND
2,NSEFO,148743,NESTLEIND
2,NSEFO,148744,NESTLEIND
2,NSEFO,148745,NESTLEIND
2,NSEFO,148746,NESTLEIND
2,NSEFO,148747,NESTLEIND
2,NSEFO,148748,NESTLEIND
2,NSEFO,148749,NESTLEIND
2,NSEFO,148750,NESTLEIND
2,NSEFO,148751,NESTLEIND
2,NSEFO,148752,NESTLEIND
2,NSEFO,148753,NESTLEIND
2,NSEFO,148754,NESTLEIND
2,NSEFO,148755,NESTLEIND
2,NSEFO,148756,NESTLEIND
2,NSEFO,148757,NESTLEIND
2,NSEFO,148758,NESTLEIND
2,NSEFO,148759,NESTLEIND
2,NSEFO,148760,NESTLEIND
2,NSEFO,148761,NESTLEIND
2,NSEFO,148762,NESTLEIND
2,NSEFO,148763,NESTLEIND
2,NSEFO,148764,NESTLEIND
2,NSEFO,148765,NESTLEIND
2,NSEFO,148766,NESTLEIND
2,NSEFO,148767,NESTLEIND
2,NSEFO,148768,NESTLEIND
2,NSEFO,168733,SAIL
2,NSEFO,168734,SAIL
2,NSEFO,168735,SAIL
2,NSEFO,168736,SAIL
2,NSEFO,52358,LICHSGFIN
2,NSEFO,52359,LICHSGFIN
2,NSEFO,52360,LICHSGFIN
2,NSEFO,52361,LICHSGFIN
2,NSEFO,52362,LICHSGFIN
2,NSEFO,52363,LICHSGFIN
2,NSEFO,52364,LICHSGFIN
2,NSEFO,52365,LICHSGFIN
2,NSEFO,52366,ULTRACEMCO
2,NSEFO,52367,ULTRACEMCO
2,NSEFO,52368,LICHSGFIN
2,NSEFO,52369,LICHSGFIN
2,NSEFO,168755,SBICARD
2,NSEFO,168756,SBICARD
2,NSEFO,168757,SBICARD
2,NSEFO,168758,SBICARD
2,NSEFO,168759,SBICARD
2,NSEFO,168760,SBICARD
